file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000052.npz,1,1,-46.43,-428.3,0.1015,0.0222,659,275.0,132.0,245.7,11,0.983,29.46,26.44
ep_0000053.npz,1,1,-73.26,450.3,0.0445,0.0459,1546,225.0,108.2,108.2,9,0.994,29.0,26.9
ep_0000054.npz,1,1,-19.17,-460.1,0.2376,0.2948,650,240.0,112.3,216.1,12,0.982,29.77,13.81
ep_0000055.npz,1,1,81.86,410.5,0.1932,0.1781,1097,160.0,124.5,124.5,10,0.991,29.86,12.04
ep_0000056.npz,1,1,28.45,-180.2,0.2579,0.2409,881,230.0,57.7,153.2,12,0.986,29.92,20.77
ep_0000057.npz,1,1,-126.66,351.4,0.0018,0.0234,1409,285.0,114.9,114.9,12,0.991,28.49,29.09
ep_0000058.npz,1,1,28.22,561.5,0.139,0.14,632,210.0,110.6,159.0,11,0.981,28.92,24.11
ep_0000059.npz,1,1,32.93,-429.3,0.0104,0.0662,977,345.0,210.5,211.1,15,0.985,28.62,34.95
ep_0000060.npz,1,1,-43.02,336.5,0.2563,0.2856,1047,250.0,93.1,195.0,12,0.989,29.76,5.19
ep_0000061.npz,1,1,-158.27,282.1,0.0684,0.0226,1745,330.0,58.3,159.3,15,0.991,29.74,24.67
ep_0000062.npz,1,1,57.16,-171.2,0.2485,0.2386,1073,265.0,46.8,151.2,12,0.988,29.69,16.2
ep_0000063.npz,1,1,-120.39,215.2,0.146,0.1763,1758,280.0,40.5,128.7,13,0.993,29.6,11.87
ep_0000064.npz,1,1,-43.69,-568.3,0.2064,0.225,857,220.0,125.9,175.3,10,0.988,29.32,12.34
